Ticker,Name,Price,Dividend Yield,Market Cap ($M),P/E Ratio,Payout Ratio
CRWRY,Craneware plc,$78.81 ,0.90%,$965 ,67.9,63.20%
CSCO,Cisco Systems Inc.,$44.84 ,3.00%,"$201,548 ",19.7,58.40%
CSGS,CSG Systems International Inc.,$34.78 ,2.40%,"$1,164 ",14.9,35.90%
CSIOF,"Casio Computer Co., Ltd.",$15.25 ,2.40%,"$3,449 ",20.3,48.40%
CSPI,CSP Inc.,$12.04 ,5.40%,$45 ,,
CSSXF,China Singyes Solar Technologies Holdings Limited,$0.27 ,0.00%,$229 ,5.4,0.00%
CSU.TO,Constellation Software Inc.,$882.80 ,0.60%,"$18,943 ",67.7,38.60%
CSVI,"Computer Services, Inc.",$52.00 ,2.80%,$724 ,16.4,45.30%
CSXXY,carsales.com Ltd,$15.66 ,4.00%,"$1,900 ",14,55.20%
CSYJF,CSE Global Limited,$0.33 ,0.00%,$161 ,-11,0.00%
CSYJY,CSE Global Limited,$3.08 ,5.60%,$153 ,-9.6,-54.10%
CTS,CTS Corporation,$28.54 ,0.60%,$933 ,18.9,10.70%
CY,Cypress Semiconductor Corporation,$13.69 ,3.30%,"$4,832 ",12.8,42.20%
DAKT,Daktronics Inc.,$7.77 ,3.60%,$342 ,23.5,85.80%
DASTF,Dassault Systämes SE,$127.57 ,0.00%,"$31,678 ",49.8,0.00%
DASTY,Dassault Systämes SE,$117.35 ,0.60%,"$29,915 ",45.8,26.10%
DBD,Diebold Nixdorf Incorporated,$3.40 ,11.80%,$257 ,-6.3,-74.50%
DCHIY,DIGITAL CHINA HLDG,$2.67 ,0.00%,$,,
DNACF,"DeNA Co., Ltd.",$18.40 ,3.20%,"$2,761 ",13.2,41.70%
DOX,Amdocs Limited,$64.77 ,1.60%,"$9,125 ",17.5,27.10%
DXC,DXC Technology Company,$58.58 ,1.30%,"$16,188 ",8.6,11.30%
EBIX,Ebix Inc.,$48.80 ,0.60%,"$1,496 ",13.9,8.70%
EGHSF,,$0.00 ,0.00%,$,,
ELUXF,AB Electrolux,$20.63 ,4.80%,"$5,993 ",12.5,60.50%
ELUXY,AB Electrolux,$41.44 ,4.40%,"$6,115 ",12.6,55.20%
ENGH.TO,Enghouse Systems Limited,$69.11 ,1.00%,"$1,900 ",32.9,33.90%
ENR,Energizer Holdings Inc.,$47.32 ,2.60%,"$2,772 ",15.4,39.60%
ENS,EnerSys,$82.25 ,0.90%,"$3,417 ",17.5,15.10%
ERIC,Ericsson,$8.21 ,1.60%,"$27,072 ",-410.3,-636.20%
ERIXF,Telefonaktiebolaget LM Ericsson,$8.20 ,1.40%,"$27,258 ",-11.4,-16.00%
ESE,ESCO Technologies Inc.,$68.13 ,0.50%,"$1,758 ",29.2,13.80%
ESP,Espey Mfg. & Electronics Corp.,$25.80 ,3.80%,$62 ,,
ET.TO,Evertz Technologies Limited,$15.49 ,4.40%,"$1,180 ",20.7,91.70%
EUTLF,Eutelsat Communications S.A.,$20.84 ,6.90%,"$4,921 ",14.4,98.60%
EVSBY,EVS BROADCAST EQUI,$5.58 ,0.00%,$,,
EVTC,Evertec Inc.,$26.16 ,0.80%,"$1,887 ",16.9,13.00%
EVTZF,Evertz Technologies Limited,$12.28 ,4.80%,$943 ,21.9,104.40%
FDGRY,,$0.00 ,0.00%,$,,
FDRVF,First Derivatives plc,$29.95 ,1.10%,$835 ,53.5,57.20%
FELTF,"Fuji Electric Co., Ltd.",$39.80 ,1.60%,"$4,278 ",42.8,68.00%
FICO,Fair Isaac Corproation,$179.12 ,0.00%,"$5,131 ",38.7,0.00%
FJTSF,Fujitsu Limited,$60.22 ,0.20%,"$12,599 ",6.6,1.20%
FLIR,FLIR Systems Inc.,$45.21 ,1.40%,"$6,158 ",20.7,29.80%
FORTY,Formula Systems (1985) Ltd. ADS represents 1 ordinary shares,$36.78 ,1.30%,$542 ,,
FSOYF,F-Secure Oyj,$3.69 ,1.30%,$437 ,123,164.80%
FTV,Fortive Corporation,$73.38 ,0.40%,"$24,242 ",21.8,8.40%
