Date,Open,High,Low,Close,Adj,Volume
6/26/2017,56.599998,56.720001,55.939999,56,55.03775,9727900
6/27/2017,55.700001,55.799999,55.080002,55.080002,54.133564,12895500
6/28/2017,55.290001,55.82,54.919998,55.77,54.811707,12976000
6/29/2017,55.509998,55.509998,54.330002,54.77,53.828888,20973400
6/30/2017,55,55.09,54.669998,54.720001,53.779747,15371900
7/3/2017,54.950001,55.049999,54.279999,54.34,53.406281,16552600
7/5/2017,54.540001,54.990002,54.360001,54.880001,53.937,14809400
7/6/2017,54.400002,54.68,54.25,54.380001,53.445591,12757400
7/7/2017,54.580002,55.189999,54.540001,55.009998,54.064762,8818200
7/10/2017,55.02,55.540001,54.939999,55.41,54.45789,5594200
7/11/2017,55.349998,55.619999,55.139999,55.529999,54.575829,6856500
7/12/2017,55.91,56.299999,55.880001,56.25,55.283455,16551900
7/13/2017,56.330002,56.560001,56.23,56.360001,55.391571,8125100
7/14/2017,56.599998,56.919998,56.52,56.860001,55.882977,6689600
7/17/2017,56.91,57.029999,56.759998,56.869999,55.892803,9837100
7/18/2017,56.759998,57.130001,56.619999,57.130001,56.148338,9920200
7/19/2017,57.220001,57.470001,57.169998,57.419998,56.43335,6673600
7/20/2017,57.580002,57.599998,57.209999,57.540001,56.551296,10372900
7/21/2017,57.290001,57.48,57.23,57.470001,56.482498,5805000
7/24/2017,57.439999,57.66,57.32,57.610001,56.620087,5378100
7/25/2017,57.43,57.619999,57.25,57.5,56.511974,6880300
7/26/2017,57.810001,57.82,57.529999,57.720001,56.728199,10602600
7/27/2017,58.130001,58.200001,56.790001,57.5,56.511974,23047200
7/28/2017,57.209999,57.549999,57.16,57.439999,56.453007,10293100
7/31/2017,57.529999,57.66,57.099998,57.16,56.177814,10982800
8/1/2017,57.450001,57.5,57.240002,57.450001,56.462833,8307200
8/2/2017,58.040001,58.049999,57.25,57.610001,56.620087,12573900
8/3/2017,57.689999,57.689999,57.310001,57.48,56.492321,10687800
8/4/2017,57.599998,57.790001,57.48,57.610001,56.620087,4756900
8/7/2017,57.689999,57.959999,57.669998,57.959999,56.964073,7683000
8/8/2017,57.880001,58.330002,57.720001,57.880001,56.885452,10460700
