AB
ABCB
ABDC
AC
ACNB
ADS
AEG
AEL
AFG
AFL
AFSI
AGM
AGO
AHL
AI
AIG
AINV
AJG
ALL
ALLY
AMNB
AMRK
AMSF
AMTD
ANAT
AON
APAM
APO
ARCC
ARES
AROW
ASB
ASRV
ATAX
ATLO
AVAL
AXP
AXS
BAC
BANC
BANF
BANR
BANX
BAP
BBD
BBT
BBVA
BCBP
BCRH
BCS
BEN
BFIN
BFR
BGCP
BHB
BHBK
BHLB
BK
BKCC
BKSC
BKU
BLK
BLX
BMA
BMO
BMRC
BMTC
BNCL
BNS
BOCH
BOH
BOKF
BPFH
BPOP
BRKL
BRO
BSAC
BSBR
BSMX
BSRR
BUSE
BWFG
BX
BXS
C
CAC
CARO
CASH
CBOE
CBSH
CBU
CCBG
CCNE
CFFI
CFG
CFR
CG
CHCO
CHFC
CHMG
CIB
CINF
CIT
CIVB
CM
CMA
CME
CMFN
CNA
CNBKA
CNO
CNOB
CNS
COF
COLB
CPF
CPTA
CRD.A
CRD.B
CS
CSFL
CSWC
CTBI
CVBF
CVCY
CVLY
CZNC
DB
DCOM
DFS
DGICA
DNBF
EBSB
EBTC
ECC
EFC
EFSC
EIG
EMCI
ERIE
ESSA
EV
EVR
EWBC
FAF
FANH
FBIZ
FBMS
FBNC
FCBC
FCF
FCFS
FCNCA
FDEF
FDS
FDUS
FFBC
FFG
FFIC
FFIN
FFNW
FGBI
FHN
FIBK
FII
FISI
FITB
FLIC
FMAO
FMBH
FMBI
FMNB
FNB
FNF
FNHC
FNLC
FRME
FSIC
FULT
GABC
GAIN
GARS
GBCI
GBDC
GBL
GBNK
GCAP
GCBC
GECC
GGAL
GLAD
GROW
GS
GSBC
GSBD
GWB
HAFC
HBAN
HBCP
HBNC
HCAP
HCI
HDB
HFWA
HIFS
HIG
HLI
HMN
HNNA
HOMB
HOPE
HRTG
HRZN
HSBC
HTBK
HTGC
HTH
HTLF
IBCP
IBKC
IBKR
IBN
IBOC
IBTX
ICBK
ICE
IHC
INBK
ING
ISBC
ISTR
ITCB
ITG
ITIC
ITUB
IVZ
JPM
JRVR
KCAP
KEY
KINS
KKR
KMF
KMPR
KNSL
KRNY
L
LAZ
LBAI
LCNB
LFC
LION
LKFN
LM
LNC
LOAN
LOB
LPLA
LTXB
LYG
MA
MAIN
MBCN
MBTF
MBWM
MC
MCBC
MCC
MCY
MDLY
MET
MFC
MFIN
MFSF
MHLD
MKTX
MMC
MN
MOFG
MRCC
MRLN
MS
MSB
MSBI
MSCI
MSL
MTB
MTR
MVC
NAVG
NAVI
NBHC
NBN
NBTB
NDAQ
NEWT
NFBK
NGHC
NKSH
NMFC
NMR
NNI
NTB
NTRS
NTRSP
NWBI
NWFL
NWLI
NYCB
OAK
OCFC
OFED
OFG
OFS
OHAI
OLBK
ONB
OPOF
OPY
ORI
ORIT
ORRF
OSBC
OVBC
OZM
PACW
PB
PBCT
PBIP
PEBK
PEBO
PFBC
PFBI
PFG
PFIS
PFLT
PFS
PGC
PGR
PJT
PKBK
PNC
PNFP
PNNT
PRI
PRK
PRU
PSEC
PUB
PWOD
PZN
QCRH
QIWI
RBCAA
RDN
RE
RF
RGA
RILY
RJF
RLI
RNR
RNST
RVSB
RY
SAFT
SAMG
SAN
SBBX
SBSI
SC
SCHW
SCM
SEIC
SFBS
SFNC
SHBI
SIFI
SIGI
SLF
SLRC
SMBC
SMFG
SMMF
SNV
SONA
SPGI
SRCE
SSB
STBA
STBZ
STC
STFC
STI
STL
STT
SUNS
SYBT
SYF
TBNK
TCBK
TCF
TCFC
TCPC
TCRD
TD
TFSL
THFF
THG
TIPT
TMK
TMP
TOWN
TPVG
TRCB
TRI
TRMK
TROW
TRST
TRV
TSBK
TSLX
TSS
UBFO
UBNK
UBS
UBSH
UBSI
UCBI
UCFC
UFCS
UIHC
UMBF
UMPQ
UNB
UNM
UNTY
USB
UVE
V
VIRT
VLY
VOYA
VRTS
WABC
WAFD
WASH
WBK
WBS
WETF
WF
WFC
WHF
WHG
WLTW
WNEB
WRB
WSBC
WSBF
WSFS
WTBA
WTFC
WTM
WU
ZION
