AAPL
ACN
ADI
ADTN
AMAT
AMOT
AMSWA
APH
ASML
ATVI
AVGO
AVT
AVX
AYI
BBOX
BDC
BELFB
BLKB
BMI
BRKS
CCMP
CDK
CDW
CGNX
CLRO
CMTL
COHU
CPSI
CSCO
CSGS
CSPI
CTS
CY
DAKT
DBD
DOX
DXC
EBIX
ENR
ENS
ERIC
ESE
EVTC
FICO
FLIR
FTV
GLW
GRMN
GSB
HIMX
HPE
HPQ
HRS
HURC
IBM
INFY
INTC
INTU
ITRN
JBL
JCOM
JCS
JNPR
KLAC
LDOS
LFUS
LOGI
LPL
LRCX
LYTS
MANT
MCHP
MEI
MGIC
MIXT
MKSI
MLAB
MNDO
MPWR
MRVL
MSFT
MSI
MTSC
MXIM
NICE
NOK
NTAP
NTES
NTP
NVDA
NVEC
ORCL
OTEX
PCTI
PEGA
PKE
PLPC
POWI
QADA
QCOM
QTRH
RELL
RFIL
SABR
SAIC
SAP
SILC
SIMO
SLP
SNE
SSNC
STM
STX
SWKS
SYMC
TACT
TAIT
TEL
TER
TESS
TSM
TXN
TYPE
UMC
VSH
WDC
WIRE
WIT
WSO
WSTG
XLNX
XRX
